Posisi;Nm_Brg;Depth;Level;No_Batch;x1;x2;x3;x4;x5;x6;x7;x8;y1;y2;y3;y4;y5;y6;y7;y8;z1;z2;z3;z4;z5;z6;z7;z8
AA.56;0052 - WANKAI;4;AT_2;240130;55,00;55,00;55,00;55,00;55,95;55,95;55,95;55,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.57;0052 - WANKAI;4;AT_2;240130;56,00;56,00;56,00;56,00;56,95;56,95;56,95;56,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.58;0052 - WANKAI;4;AT_2;240130;57,00;57,00;57,00;57,00;57,95;57,95;57,95;57,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.58;0052 - WANKAI;4;AT_2;240129;57,00;57,00;57,00;57,00;57,95;57,95;57,95;57,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.59;0052 - WANKAI;7;BW_4;240129;58,00;58,00;58,00;58,00;58,95;58,95;58,95;58,95;3,95;3,00;3,95;3,00;3,95;3,00;3,95;3,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.59;0052 - WANKAI;8;AT_4;240131;58,00;58,00;58,00;58,00;58,95;58,95;58,95;58,95;3,95;3,00;3,95;3,00;3,95;3,00;3,95;3,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.60;0052 - WANKAI;4;AT_2;240129;59,00;59,00;59,00;59,00;59,95;59,95;59,95;59,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.61;0052 - WANKAI;6;AT_3;240130;60,00;60,00;60,00;60,00;60,95;60,95;60,95;60,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.62;0052 - WANKAI;4;AT_2;240130;61,00;61,00;61,00;61,00;61,95;61,95;61,95;61,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.01;0056 - RAMAPET IRS;5;BW_3;220719;0,00;0,00;0,00;0,00;0,95;0,95;0,95;0,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.08;0056 - RAMAPET IRS;5;BW_3;220719;7,00;7,00;7,00;7,00;7,95;7,95;7,95;7,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.09;0056 - RAMAPET IRS;5;BW_3;220621;8,00;8,00;8,00;8,00;8,95;8,95;8,95;8,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.12;0052 - WANKAI;5;BW_3;240121;11,00;11,00;11,00;11,00;11,95;11,95;11,95;11,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.18;0052 - WANKAI;5;BW_3;240122;17,00;17,00;17,00;17,00;17,95;17,95;17,95;17,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.19;0052 - WANKAI;5;BW_3;240122;18,00;18,00;18,00;18,00;18,95;18,95;18,95;18,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.20;0052 - WANKAI;7;BW_4;240122;19,00;19,00;19,00;19,00;19,95;19,95;19,95;19,95;3,95;3,00;3,95;3,00;3,95;3,00;3,95;3,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.21;0052 - WANKAI;5;BW_3;240122;20,00;20,00;20,00;20,00;20,95;20,95;20,95;20,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.23;0052 - WANKAI;9;BW_5;240122;22,00;22,00;22,00;22,00;22,95;22,95;22,95;22,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.32;0052 - WANKAI;5;BW_3;240123;31,00;31,00;31,00;31,00;31,95;31,95;31,95;31,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.33;0052 - WANKAI;5;BW_3;240123;32,00;32,00;32,00;32,00;32,95;32,95;32,95;32,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.35;0052 - WANKAI;5;BW_3;240123;34,00;34,00;34,00;34,00;34,95;34,95;34,95;34,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.36;0052 - WANKAI;7;BW_4;240123;35,00;35,00;35,00;35,00;35,95;35,95;35,95;35,95;3,95;3,00;3,95;3,00;3,95;3,00;3,95;3,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.37;0052 - WANKAI;5;BW_3;240123;36,00;36,00;36,00;36,00;36,95;36,95;36,95;36,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.38;0052 - WANKAI;9;BW_5;240123;37,00;37,00;37,00;37,00;37,95;37,95;37,95;37,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.39;0052 - WANKAI;5;BW_3;240123;38,00;38,00;38,00;38,00;38,95;38,95;38,95;38,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.41;0052 - WANKAI;5;BW_3;240123;40,00;40,00;40,00;40,00;40,95;40,95;40,95;40,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
